Date,Title,Time,Location,Summary,Link
2025-10-09,Libraries Workshop: Text Analysis in R: Exploring Banned Books,1760016600,Online,,https://events.cmu.edu/event/24843-libraries-workshop-text-analysis-in-r-exploring
2025-10-09,Libraries Workshop: Communicating Data: Tableau,1760025600,Online,,https://events.cmu.edu/event/24844-libraries-workshop-communicating-data-tableau
2025-10-09,Swartz Center CONNECTS Seminar Series,1760027400,"Swartz Center for Entrepreneurship, Tepper Building, or Zoom",The Swartz Center for Entrepreneurship’s CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,https://events.cmu.edu/event/23705-swartz-center-connects-seminar-series
2025-10-09,Libraries Workshop: Handling and Navigating Pandas Dataframes in Python,1760029200,"Sorrells Library Den, Wean Hall",,https://events.cmu.edu/event/24845-libraries-workshop-handling-and-navigating-pandas
2025-10-09,Libraries Workshop: Introduction to Research Data Management,1760036400,"Sorrells Library Den, Wean Hall",,https://events.cmu.edu/event/24846-libraries-workshop-introduction-to-research-data
2025-10-09,"Lawfully Speaking - From Science to Strategy: Navigating a Career at the Nexus of Law, Technology, and Policy with Lala Qadir",1760043600,"Posner Hall, Grand Room (340)","Join us for this Fall’s Lawfully Speaking with Lala Qadir, Senior Director of Technology Security and AI Policy at Microsoft, as she shares her perspectives from a multidisciplinary career across science, consulting, law, national security, and technology policy.",https://events.cmu.edu/event/25312-lawfully-speaking-from-science-to-strategy-navigating-
2025-10-09,"Book Launch - Time Well Spent: An American Architect in Europe, 1893",1760043600,"Frank-Ratchye STUDIO for Creative Inquiry, College of Fine Arts Room 111","Carnegie Mellon University Press invites you to the launch of Time Well Spent: An American Architect in Europe, 1893, a new book by School of Architecture Assistant Teaching Professor Francesca Torello that brings to life the extraordinary travels and experiences of young Henry Hornbostel.",https://events.cmu.edu/event/26257-book-launch-time-well-spent-an-american-architect-in-e
2025-10-09,Check In: Staying Accountable to Your Goals (In Person Peer Connect Gathering),1760047200,"Room 5403, Wean Hall",Take time to reflect on how much progress you’re making on your professional goals.,https://events.cmu.edu/event/25309-check-in-staying-accountable-to-your-goals-in
2025-10-09,Carnegie Mellon Opera: Putting it Together,1760054400,"WQED Studio A @ 4802 Fifth Ave, Pittsburgh, PA, 15213, United States",,https://events.cmu.edu/https://events.time.ly/vdibqnd/43901204
2025-10-09,CMU Drama Presents: The House of Bernarda Alba,1760054400,"Purnell Center for the Arts, Philip Chosky Theater","The School of Drama presents “The House of Bernarda Alba” by Federico García Lorca, adapted by Chay Yew and directed by Samantha Pazos.",https://events.cmu.edu/event/26235-cmu-drama-presents-the-house-of-bernarda-alba
2025-10-09,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-09,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-09,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-09,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-09,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-09,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-10,Libraries Workshop: Text Analysis in R: Exploring Banned Books,1760103000,Online,,https://events.cmu.edu/event/24847-libraries-workshop-text-analysis-in-r-exploring
2025-10-10,Astro Lunch Seminar: Adrian Price-Whelan (CCA),1760112000,Wean Hall (8330),,https://events.cmu.edu/event/26151-astro-lunch-seminar-adrian-price-whelan-cca
2025-10-10,Workshop - Practical Uses of GenAI for Academics,1760112000,"Wean Hall, Room 1327, or Online (Hybrid)",,https://events.cmu.edu/event/25553-workshop-practical-uses-of-genai-for-academics
2025-10-10,(Women’s Volleyball) Capital vs. Carnegie Mellon,1760133600,,,https://events.cmu.edu/event/23900-womens-volleyball-capital-vs-carnegie-mellon
2025-10-10,Carnegie Mellon Opera: Putting it Together,1760140800,"WQED Studio A @ 4802 Fifth Ave, Pittsburgh, PA, 15213, United States",,https://events.cmu.edu/https://events.time.ly/vdibqnd/43901205
2025-10-10,CMU Drama Presents: The House of Bernarda Alba,1760140800,"Purnell Center for the Arts, Philip Chosky Theater","The School of Drama presents “The House of Bernarda Alba” by Federico García Lorca, adapted by Chay Yew and directed by Samantha Pazos.",https://events.cmu.edu/event/26236-cmu-drama-presents-the-house-of-bernarda-alba
2025-10-10,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-10,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-10,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-10,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-10,Mini-1 Last Day of Classes,All Day,,,https://events.cmu.edu/event/22001-mini-1-last-day-of-classes
2025-10-10,Mini-1 Voucher Election Deadline,All Day,,,https://events.cmu.edu/event/22002-mini-1-voucher-election-deadline
2025-10-10,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-10,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-11,(Men’s Soccer) Chicago vs. Carnegie Mellon,1760194800,,,https://events.cmu.edu/event/23897-mens-soccer-chicago-vs-carnegie-mellon
2025-10-11,(Women’s Soccer) Chicago vs. Carnegie Mellon,1760203800,,,https://events.cmu.edu/event/23895-womens-soccer-chicago-vs-carnegie-mellon
2025-10-11,CMU Drama Presents: The House of Bernarda Alba,1760205600,"Purnell Center for the Arts, Philip Chosky Theater","The School of Drama presents “The House of Bernarda Alba” by Federico García Lorca, adapted by Chay Yew and directed by Samantha Pazos.",https://events.cmu.edu/event/26238-cmu-drama-presents-the-house-of-bernarda-alba
2025-10-11,CMU Drama Presents: The House of Bernarda Alba,1760227200,"Purnell Center for the Arts, Philip Chosky Theater","The School of Drama presents “The House of Bernarda Alba” by Federico García Lorca, adapted by Chay Yew and directed by Samantha Pazos.",https://events.cmu.edu/event/26237-cmu-drama-presents-the-house-of-bernarda-alba
2025-10-11,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-11,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-11,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-11,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-11,Mini-1 Exams,All Day,,,https://events.cmu.edu/event/21999-mini-1-exams
2025-10-11,Mini-1 FCEs close,All Day,,,https://events.cmu.edu/event/22000-mini-1-fces-close
2025-10-11,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-11,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-12,(Women’s Volleyball) Rochester (N.Y.) vs. Carnegie Mellon,1760277600,"Case Western Reserve University - Cleveland, Ohio",,https://events.cmu.edu/event/23894-womens-volleyball-rochester-ny-vs-carnegie-mellon
2025-10-12,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-12,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-12,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-12,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-12,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-12,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-13,(Men’s Golf) Tartan Invitational,All Day,,,https://events.cmu.edu/event/23892-mens-golf-tartan-invitational
2025-10-13,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-13,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-13,CHI PLAY 2025,All Day,On Campus and Online,The Annual Symposium on Computer-Human Interaction in Play (CHI PLAY) is coming to CMU in 2025!,https://events.cmu.edu/event/26128-chi-play-2025
2025-10-13,Fall Break; No Classes,All Day,,,https://events.cmu.edu/
2025-10-13,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-13,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-13,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-13,Shemini Atzeret Begins,All Day,,"Immediately following the seven-day Jewish festival of Sukkot, Shemini Atzeret involves festive meals, which may happen in the sukkah.",https://events.cmu.edu/event/22276-shemini-atzeret-begins
