title,date,read_more,intro,location
The Eldorado Band - Pittsburgh's Premier Rockin' Country Band,"Nov 29, 2025																											   | 8:00 pm - 11:00 pm",https://downtownpittsburgh.com/events/event/?id=62721,THE TONIDALE PUB & CE PRESENTS WELCOME THE ELDORADO BAND - PITTSBURGH'S PREMIER ROCKIN' COUNTRY BAND!,
Fistful of Ballers' Thanksgiving Eve Extravaganza,"Nov 26, 2025																											   | 8:00 pm - 11:00 pm",https://downtownpittsburgh.com/events/event/?id=62797,THE TONIDALE PUB & CE PRESENTS WELCOME FISTFUL OF BALLERS' THANKSGIVING EVE EXTRAVAGANZA!,
Gillie Brothers Band,"Nov 22, 2025																											   | 8:00 pm - 11:00 pm",https://downtownpittsburgh.com/events/event/?id=62708,The Tonidale Pub and CE Presents welcome GILLIE BROTHERS BAND!,
Cancer Bridges' 2025 Light Up Gala,"Nov 21, 2025																											   | 5:30 pm - 9:00 pm",https://downtownpittsburgh.com/events/event/?id=63775,Join Cancer Bridges at The Westin Pittsburgh for their 2025 Light Up Gala!,
Fellow Travelers,"Nov 16, 2025																											   | 2:00 pm - 5:00 pm",https://downtownpittsburgh.com/events/event/?id=62505,"The Red Scare, tinted lavender.",
Fellow Travelers,"Nov 15, 2025																											   | 7:00 pm - 10:00 pm",https://downtownpittsburgh.com/events/event/?id=62504,"The Red Scare, tinted lavender.",
Totally 80s,"Nov 15, 2025																											   | 8:00 pm - 11:00 pm",https://downtownpittsburgh.com/events/event/?id=62632,The Tonidale Pub and CE Presents welcome TOTALLY 80s!,
YWCA Greater Pittsburgh 5th Annual Equity Awards,"Nov 14, 2025																											   | 11:30 am - 1:30 pm",https://downtownpittsburgh.com/events/event/?id=62297,Please mark your calendar for our 5th Annual celebration of local leaders working to advance race and gender equity.,
Fellow Travelers,"Nov 14, 2025																											   | 7:00 pm - 10:00 pm",https://downtownpittsburgh.com/events/event/?id=62503,"The Red Scare, tinted lavender.",
2025 Annual Dinner: Japan-America Society of PA,"Nov 11, 2025																											   | 5:30 pm - 9:00 pm",https://downtownpittsburgh.com/events/event/?id=63588,"Join an evening of networking with colleagues that have an interest in business, culture, and life in Japan!",
The Crane Wives at Stage AE,"Nov 8, 2025																											   | 7:00 pm - 11:00 pm",https://downtownpittsburgh.com/events/event/?id=63597,Fall Tour 2025: THE CRANE WIVES with Spencer LaJoye,
Pittsburgh Wine & Spirits Festival,"Nov 7, 2025																											   | 6:00 pm - 10:00 pm",https://downtownpittsburgh.com/events/event/?id=63780,Savor the season’s best at this premier tasting event!,
Milk Bank & Cookies,"Nov 6, 2025																											   | 7:00 pm - 10:00 pm",https://downtownpittsburgh.com/events/event/?id=63822,Join Mid-Atlantic Mothers' Milk Bank for the Mother of All Cookies Tables as regional bakeries compete for the title of Best in Pittsburgh.,
The Global Impact Forum 2025,"Nov 3, 2025 - Nov 5, 2025																											   | 8:00 am - 1:00 pm",https://downtownpittsburgh.com/events/event/?id=62691,"The Global Impact Forum (TGIF) is an annual event aimed at fostering economic development, social mobility, and positive impact through education and innovation.",
The Official Halloween Bar Crawl (Fri & Sat) - Pittsburgh,"Oct 31, 2025 - Nov 1, 2025																											   | 4:00 pm - 1:00 pm",https://downtownpittsburgh.com/events/event/?id=63458,"Round up your boo crew, show off your costumes, and prepare for a night of creepy cocktails, chills, and unforgettable bar-hopping fun!",
Dia de los Muertos,"Oct 31, 2025 - Nov 1, 2025																											   | 7:00 pm - 12:00 am",https://downtownpittsburgh.com/events/event/?id=63736,Dia de los Muertos Halloween Party–Come in costume for a night of fun at the Rebel RoomZ!,
Dracula,"Oct 31, 2025 - Nov 2, 2025",https://downtownpittsburgh.com/events/event/?id=63878,The seductive Count Dracula makes his chilling return to the Benedum stage just in time for Halloween.,
Bugs Bunny at the Symphony,"Oct 31, 2025 - Nov 2, 2025",https://downtownpittsburgh.com/events/event/?id=63916,"""What's Up, Doc?"" Bugs Bunny turns 85 in grand, symphonic style!",
Under The Radar,"Sep 20, 2025 - Mar 21, 2026																											   | 7:00 pm - 8:30 pm",https://downtownpittsburgh.com/events/event/?id=63449,Join us for an entertaining night of hilarious comedy at Under The Radar and support Pittsburgh's vibrant improv scene!,
Co-Workers,"Sep 13, 2025 - Dec 13, 2025																											   | 8:00 pm - 9:30 pm",https://downtownpittsburgh.com/events/event/?id=63298,Co-Workers takes you behind the scenes of an everyday office where anything but the usual happens!,
"Comedy Bingo Night with Barbara, A Mother","Sep 13, 2025 - Feb 14, 2026																											   | 7:00 pm - 8:30 pm",https://downtownpittsburgh.com/events/event/?id=63700,"A comedy variety show featuring improv, characters, games, and more!",
Con Alma Late Happy Hour,"Sep 12, 2025 - Dec 12, 2025																											   | 10:00 pm - 12:00 am",https://downtownpittsburgh.com/events/event/?id=63763,"Con Alma keeps the vibes flowing with two daily Happy Hours—early evenings feature $8 Latin-style cocktails, wine, and $1 off select beers, while late nights bring $9 martinis, Old Fashioneds, and select wines.",
Stand-Up Laboratory,"Sep 4, 2025 - Dec 4, 2025																											   | 9:00 pm - 10:30 pm",https://downtownpittsburgh.com/events/event/?id=63696,"Every month, the Lab will present a mix of feature comics and a roster of comedians chosen from online submissions.",
Beta Stage,"Aug 30, 2025 - Nov 29, 2025																											   | 6:00 pm - 7:30 pm",https://downtownpittsburgh.com/events/event/?id=63695,"Support emerging talent and join us for Beta Stage, a monthly showcase of fresh comedy!",
Celebrating 45 Years of CAPA: Alumni and Faculty Exhibition,"Aug 29, 2025 - Jan 25, 2026",https://downtownpittsburgh.com/events/event/?id=63532,The Pittsburgh Cultural Trusts presenst an exhibition that celebrates the incredible talents of CAPA alumni and faculty for its 45th Anniversary.,
Irony City: Am I The Jagoff?,"Aug 2, 2025 - Dec 6, 2025																											   | 8:00 pm - 9:30 pm",https://downtownpittsburgh.com/events/event/?id=63451,Join veteran comedy troupe Irony City at Arcarde Comedy Theater as they deftly navigate social missteps on the first Saturday of each month.,
Ben Schonberger: Hi-NRG,"Jul 25, 2025 - Nov 2, 2025																											   | 11:00 am - 5:00 pm",https://downtownpittsburgh.com/events/event/?id=63282,"Join the Pittsburgh Cultural Trust for an opening reception on July 25 during our Gallery Crawl.  Ben Schonberger is a Pittsburgh-based artist whose multidisciplinary practice examines the complexities of identity, power, and the archive. Through processes of appropriation and recombination, he recontextualizes found imagery to explore the intersection of personal and collective histories.",
Black & Ghost Tour,"Apr 1, 2025 - Dec 30, 2025																											   | 7:00 pm - 9:00 pm",https://downtownpittsburgh.com/events/event/?id=62715,Experience the spookiest of Pittsburgh’s Downtown!,
